"S No",Priority,"KPI List",H/L,LYD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,"Current Target","Target 2023","Target 2024","Bronze Benchmark",Vision,Pillar
29,1,"ABV Deviation",L,-0.02,-0.02,-0.09,,,,,,,,,,,-0.02,-0.10,,,,0,PQ
30,3,"HeiQuest Compliance - Quality",H,96.66,96.95,96.95,,,,,,,,,,,96.95,80.00,,,,0,PQ
31,2,"Heineken TTS - Fresh",H,6.60,6.70,,,,,,,,,,,,6.70,6.65,,,,0,PQ
32,1,"Extract Losses - Beer Production",L,11.96,6.58,,,,,,,,,,,,6.58,7.40,7.40,,,0,"AM Brewing"
33,1,"FTR - Bright Beer",H,57.35,53.70,,,,,,,,,,,,53.70,91.00,92.00,93.00,,0,"AM Brewing"
34,1,"(Filtration) OPI NONA - BMF",H,34.86,39.70,,,,,,,,,,,,39.70,57.00,58.00,58.00,,63,"AM Brewing"
35,2,"FTR Micro - Beer Production",H,90.09,97.00,,,,,,,,,,,,97.00,,,,,0,"AM Brewing"
36,4,"Water Consumption - Brewing",L,4.17,3.55,,,,,,,,,,,,3.55,,,,,0,"AM Brewing"
37,2,"AM Tags Raised",H,40.91,,,,,,,,,,,,,,8.00,,,,0,"AM Brewing"
38,2,"AM Tags Removed",H,81.64,,,,,,,,,,,,,,80.00,,,,0,"AM Brewing"
39,4,"APM Machine BMF and GEA CILT execution",H,50.00,,,,,,,,,,,,,,50.00,,,,0,"AM Brewing"
40,2,"HOC Audit Score - Brewing",H,79.74,82.90,,,,,,,,,,,,82.90,80.00,,,,0,"AM Brewing"
41,3,"HeiQuest Compliance - Brewing",H,99.42,96.47,96.47,,,,,,,,,,,96.47,99.00,,,,0,"AM Brewing"
